bioguide_id,ap_pol_id
B000944,1384
C000127,1805
C000141,1057
C000174,1710
C001070,39527
C001071,51865
F000062,1704
H000338,1758
K000367,51526
M001170,29135
M000639,386
N000032,1711
S000033,1445
S000770,1729
T000464,55866
W000802,40102
B001261,52935
W000437,212
A000360,1421
C000567,690
C001035,1727
C001056,367
D000563,1262
E000285,508
G000359,1408
I000024,1048
M000355,210
M001176,57469
R000122,964
R000584,15344
R000307,1616
S001141,1167
S001181,1073
U000039,577
W000805,1782
G000555,51916
F000457,59608
C001088,60997
M001183,47450
A000055,523
A000367,61070
A000368,61040
B001230,1092
B001269,252
B000213,281
B001270,50853
B000287,94
B001271,61069
B001267,59911
B001257,52981
B001250,618
B000490,1253
B001273,58195
B001243,682
B000574,482
B001277,9548
B000575,1343
B001236,1620
B001255,50418
B000711,1705
B000755,287
B001227,237
B001274,60629
B000911,1242
B001260,53213
B001275,60421
B001248,1017
B001135,452
B001251,34352
C000059,132
C001047,441
C001036,72
C001037,889
C001083,10206
C001072,57849
C001051,1441
C001075,59656
C001066,10546
C000266,391
C001076,59346
C001080,52450
C001084,39864
C001067,32471
C001049,1337
C001061,50040
C000537,1414
C000542,18782
C001077,8993
C001068,41288
C001053,1398
C001062,1860
C001078,59040
C000714,806
C000754,676
C001059,6818
C001069,1231
C000880,81
C001087,60226
C001045,851
C001038,1523
C001063,327
C001048,284
C000984,1064
D000096,1272
D000598,157
D000191,484
D000197,734
D000216,1141
D000612,52493
D000604,1865
D000616,61091
D000610,60128
D000600,878
D000399,292
D000607,50000
D000482,255
D000614,60735
D000615,57891
D000533,665
E000290,57813
E000288,55265
E000291,60533
E000179,1547
E000215,43
F000460,60295
F000030,52
F000458,60983
F000451,51178
F000444,1129
F000459,60964
F000456,59669
F000461,60215
F000445,711
F000449,49989
F000450,1877
F000448,1121
F000372,384
F000455,59885
G000559,7136
G000562,60588
G000548,556
G000563,57239
G000564,60927
G000552,1883
G000289,714
G000565,61002
G000566,60681
G000377,296
G000386,1717
G000546,1342
G000560,53104
G000553,37280
G000410,348
G000568,58574
G000551,1131
G000558,54282
G000535,1267
H001051,59694
H001045,57825
H001052,58831
H001053,29019
H000324,874
H001055,60689
H001046,59492
H001036,277
H001056,61094
H001038,32940
H001047,59590
H000636,304
H001042,1594
H001061,1780
H001034,1206
H000874,1061
H001057,54149
H001058,55092
H001059,53754
H001048,59681
H001060,45695
I000055,835
I000057,1510
I000056,146
J000032,312
J000290,19867
J000292,60428
J000126,350
J000288,59400
J000293,60740
J000174,270
J000255,1362
J000289,57253
K000009,405
K000375,22757
K000376,60917
K000188,1094
K000210,1514
K000362,539
K000378,60166
K000360,1277
K000363,985
L000573,60527
L000564,9174
L000567,56743
L000559,967
L000575,61119
L000560,1468
L000557,1139
L000566,57148
L000174,1760
L000551,28
L000577,60693
L000263,802
L000287,833
L000563,50681
L000554,371
L000565,51537
L000397,49
L000576,61089
L000480,1551
L000491,1396
L000569,55466
L000570,56805
L000571,49396
L000562,890
M000087,1541
M001158,42752
M001179,60542
M000133,888
M001163,51416
M000303,1701
M001165,52561
M001157,38751
M001177,52499
M001143,989
M000404,1482
M000312,883
M001156,35265
M001180,47518
M001159,46291
M001166,50403
M001181,60432
M001137,1521
M000689,856
M000702,1726
M001150,1326
M001144,1240
M001160,48730
